"広告主ID","広告主名","広告主サイトURL","会社名","プログラムID","プログラム名","プログラム内容","コメント・注意事項（プログラム）","提携ステータス","期間開始","期間終了","CPC報酬","定額報酬","定率報酬","注文発生対象・条件","成果の承認基準","成果の承認基準（その他）","成果対象外条件","成果対象外条件（その他）","コメント・注意事項（オファー）","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","リスティング可否","カテゴリー1","カテゴリー2","カテゴリー3","カテゴリー4"
"3764332","ブーリスチェアオンラインストア","https://boulies.co.jp","株式会社ブーリス","2174414","ブーリスチェアオンラインストア-Master Neo&Master Rex","英国発の人気ブランドBoulies公式オンラインショップです。

◆セールスポイント◆
1．１年延長保証キャンペーン実施中！
2．公式オンラインショップならではの安心感！
3．全品送料無料！（沖縄・離島を除く）

◆ターゲットユーザー◆
20代～50代の上質なライフスタイルを志向する男性をターゲットにしています。
会員登録で、【1年間の延長保証特典】をご用意しています。
商品紹介とあわせて掲載いただくことで、ユーザーの安心感にもつながり、CTRやCVRの向上が期待できますので、あわせてご案内いただくのがおすすめです。

◆おすすめの紹介方法◆
日本国内でboulies製品をご購入いただいたお客様が、より安心して、より長くお使いいただけるよう、「最長3年保証キャンペーン」を実施いたします。これまでも各製品には保証が付帯していましたが、本キャンペーン期間中に対象製品を購入し、boulies公式ストアから注文すると、保証期間が3年に延長されます。","","審査あり","2026/03/12","","","","5%","商品購入","商品購入:入金確認/配送確認","","虚偽、いたずら、重複
注文キャンセル（クーリングオフ）","商品受け取り拒否
海外発送商品","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","不可","","","",""
"3761327","マネーフォワード ME","https://moneyforward.com/","株式会社マネーフォワード","2174117","マネーフォワード ME","【資産管理アプリ利用率No.1！※ 1『マネーフォワード ME』 】

「マネーフォワード ME」は、銀行口座やクレジットカード、証券口座などを一元管理できる便利なアプリです。
2,400以上の金融機関とAPI連携し、自動でデータを取得。マネーフォワード MEなら、モッピーポイントも連携可能！
あちこちにまたがる資産の状況や推移をまとめて、パッと正しく把握できます。

●アフィリエイトガイドライン
https://drive.google.com/file/d/1_bdLhYVs9Yr2ksWdgLmyBIWV0r6UqDgx/view","※過去にマネーフォワードMEアプリをインストールしたことがある場合
※別の端末やご家族、ご友人と同一IPアドレスでのインストールなども対象外です
※回線が不安定な状態でインストールした場合
※インストールが他の広告成果としてみなされている場合
※インストール中に他の操作を行った場合
※アドブロック（広告ブロック）を使用されている場合
※本キャンペーンページ以外からのインストール
※広告主に正常な申込でないと判断された場合
※端末の「追跡型広告を制限」設定がONになっている場合
※日本国内以外からのアクセスまたは日本国以外のIPを利用したアクセスは獲得対象外
※不備・不正・虚偽・重複・いたずら・キャンセル
※その他お申込内容に不備がある場合
※許諾が取れていない画像／素材の使用はNG
※許諾ないものの使用があった際は、過去の成果まで遡り支払い対象外になる可能性がございます
※法令が遵守されていなかった場合
※指定媒体以外で掲載された場合","審査あり","2026/03/12","","","304","","その他","","・非ポイントサイト：新規アプリインストール後の会員登録完了
・ポイントサイト：新規アプリインストール後の無料会員登録＋3口座連携完了","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","※過去にマネーフォワードMEアプリをインストールしたことがある場合
※公共WiFiをご利用しインストールまたは獲得条件に到達した場合
※他端末での同一IPからのインストールまたは獲得条件到達
※回線が不安定な状態でインストールした場合
※インストールが他の広告成果としてみなされている場合
※インストール中に他の操作を行った場合
※アドブロック（広告ブロック）を使用されている場合
※本キャンペーンページ以外からのインストール
※端末の「追跡型広告を制限」設定がONになっている場合
※日本国内以外からのアクセスまたは日本国以外のIPを利用したアクセス
※指定媒体以外で掲載された場合","","","","スマホ対応","","","不可","","","",""
"3759291","airalo","https://www.airalo.com/ja","AIRGSM PTE. LTD.","2173914","airalo 紹介プログラム","airaloは世界200以上の国と地域で利用できるeSIMサービスです。
アプリから購入～設定まで完結し、最短数分で利用開始できるため、空港でSIMカードを探す必要がありません。
海外旅行・出張・留学など幅広いシーンで使われており、物理SIM不要・即日開通・低価格が魅力の次世代通信サービスです。

▼airaloの特徴
１．即日利用可能：アプリから購入・設定・開通まで数分
２．世界200+国対応：渡航先に合わせて柔軟に選択
３．コスト削減：国際ローミングやレンタルWiFiより安価

なお、本プログラムではairaloのが定めるアフィリエイト規定に則った運用をお願いしております。
規定に関しては、下記ガイドラインをご参照ください。
https://conbiz.valuecommerce.com/3759291/guideline.pdf","","即時提携","2026/03/09","","","","5%","申込完了 / 商品購入","申込完了:申込確認
商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","アプリ経由でのお申込みは成果対象外となります。","","","","スマホ対応","","","不可","","","",""
"3756796","AI中国語コーチPAO","https://ai.paochai.jp/","株式会社Rungar","2173494","「AI中国語コーチPAO」LINE登録促進プログラム","AI中国語コーチPAOはLINEで完結！ChatGPTを中国語学習に最適化したAI中国語学習コーチです。PAOは中国語力向上に効果のある3つのトレーニングを習慣化するサポートを提供します。24時間学習者に伴走！""続けられる""中国語学習を実現します。

◆セールスポイント◆
中国語コーチングでトップクラスの実績があるPaoChaiの学習戦略（BCP方式）で、LINEで気軽に学べるサービスです。
音読やAIじっくり会話という本質的なトレーニングで、インプット＆アウトプットが手軽に毎日できる

◆ターゲットユーザー◆
最低：HSK３～４級合格レベル、中検４級合格レベル
※上はHSK６級合格者、中検準一合格者まで長期的に利用できます
※初心者用のコンテンツもありますが、メインは上記の通りです

◆おすすめの紹介方法◆
実際に使ってみて、どのような学習効果があるか？

おすすめの使用例
https://ai.paochai.jp/tuijian

BCP方式とは？
https://ai.paochai.jp/bcp","","審査あり","2026/03/06","","","150","","その他","","LINE友だち追加","虚偽、いたずら、重複
登録不備","LINE登録後即ブロック","","","","スマホ対応","","","不可","","","",""
"3752894","waterpoint公式HP","https://waterpoint.co.jp/","ウォーターポイント株式会社","2172975","Watepoint ポット型浄水器Lifewater Jug販売促進プログラム","◆セールスポイント◆

1.1契約におけるワンショット報酬
初回レンタル契約完了で成果確定。分かりやすい成果条件になります。

2．水自販機3,500台超を展開するウォーターポイントの展開する製品
ボトルをスーパに持っていくとお水をくむことの出来る水自販機を広く展開するウォーターポイントが取り扱う安心ブランド。圧倒的濾過スピード＋濾過性能で、除菌・PFAS除去も可能。防災でも使用できる品質で日常のお水を美味しく。

3．送料無料
送料無料になります。

◆ターゲットユーザー◆

・生活の忙しい主婦や、一人暮らし男性層
・ウォーターサーバーは重い／コストが高いと感じている層
・防災意識が高い都市部ファミリー層
・「安心な水を手軽に確保したい」合理派ユーザー

◆アフィリエイトサイト様へのメッセージ◆
ワンショット型のため、
・成果確定条件が明確、報酬計算がシンプル
・記事量産にも向く案件
になります。
また、従来のポット型浄水器と比較して性能が格段に向上しておりますので、差別化が簡単です。","掲載に関する情報提供等は都度相談をお願いいたします。","審査あり","2026/03/03","","","5000","","商品購入","商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","**************************
成果対象商品は下記商品のみとなります。
・LifewaterJug　月額レンタルサービスA
・LifewaterJug　月額レンタルサービスB
・LifewaterJug　月額レンタルサービスC
・Lifewater Jug（販売）
**************************","","","","スマホ対応","ITP対応済","","一部可","ドリンク・お酒","住まい関連サービス","ダイエット・健康食品",""
"3755381","サジーのフィネス","https://finess.jp/topb/","株式会社フィネス","2173257","サジー通販のフィネス","SNSで話題の鉄分フルーツドリンク「豊潤サジー」のアフィリエイトプログラムです。

◆セールスポイント◆
・500円なので気軽に申込める（定期縛りなし＆送料無料）
・たっぷり飲める約30日分の大容量
・忙しい女性でも手軽においしく鉄分が取れるから体感率が約88.1％と高い
・購入後も電話・メールでしっかりサポート。困ったときも安心。


◆ターゲットユーザー◆
鉄分不足による不調（朝からシャキッとしたい、1日中元気に過ごしたいなど）を感じている30～40代の女性


◆おすすめの紹介方法◆
500円で申込めるとてもお得なオファーなので、
**「気になっている人はとりあえず一度飲んでみて」**と背中を押す紹介が効果的です。


※「即解約OK」など、解約を促す表現はNGです。継続率低下につながるためご注意ください。

◆アフィリエイトサイトへのメッセージ◆
獲得が伸びたメディア様には、特別報酬の導入も検討しております。
健康意識の高まりとSNSでの露出増加により、「豊潤サジー」の知名度は急上昇中。
500円で申込めるハードルの低さから、成果に直結しやすいプログラムです。

◆注意事項◆
ポイントサイトにおけるユーザー還元上限：200円まで","・以下に該当する注文は成果対象外とさせていただきます。
　?過去購入歴のあるユーザーからのご注文
　?商品受け取り拒否や出荷キャンセルなど
　?弊社規定により、明らかな不正注文と判断された場合
　
・弊社の商品を広告していただく場合は、必ず広告レギュレーションを確認し、遵守した表現をお願い致します。
・万が一違反があった場合は、是正を依頼させていただきますので、即時ご対応ください
　?ご対応いただけない場合、提携解除となります、あらかじめご了承ください。","即時提携","2026/03/11","","","2660","","申込完了","申込完了:申込確認/配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","・以下に該当する注文は成果対象外とさせていただきます。
　?商品受け取り拒否や出荷キャンセルなど
　?弊社規定により、明らかな不正注文と判断された場合
　
・弊社の商品を広告していただく場合は、必ず広告レギュレーションを確認し、遵守した表現をお願い致します。
・万が一違反があった場合は、是正を依頼させていただきますので、即時ご対応ください
　?ご対応いただけない場合、提携解除となります、あらかじめご了承ください。","","","スマホ対応","","","一部可","","","",""
"3756846","anote","https://anote.ltd/","株式会社klikes","2173514","anote","◆セールスポイント◆
１．書類作成から面接対策まですべてにおいて参考になるコンテンツが多数。
 2．元人事が厳選した「本当に信頼できるキャリアパートナー」のみをご紹介。
 3．誰かに任せる転職から、自分で選び取る転職へとステップアップすることが可能。

◆ターゲットユーザー◆ 
20代～40代の転職検討層。「どのエージェントを使えばいいかわからない」「過去にエージェント選びで失敗した」というユーザーに最適です。

◆おすすめの紹介方法◆
 従来のエージェント比較記事に加え、「転職 失敗しない」「エージェント 選び方」などの啓蒙系コンテンツとの相性が良いと想定しております。anoteを活用することで「よくわからずにエージェントの指示通りに動く」状態から「エージェントを選ぶ」ことが出来るようになる点を押していただけますと幸いです。","※記事やクリエイティブは必ず掲載前に事前確認を挟ませていただき、弊社の確認を挟んだうえで掲載していただきたいです。
　└無確認での掲載だと報酬のお支払いは難しいのでご認識ください。","審査あり","2026/03/02","","","7600","","その他","","面談実施後承認完了","虚偽、いたずら、重複
登録不備","","","MyLink対応","LinkSwitch利用可能","スマホ対応","","","可","","","",""
"3762093","Pontely Foods","https://food.pontely.com/","株式会社Pontely","2174218","ドライドックフード「クラーノ」「ウルフインサイト」販促プログラム","FEDIAF基準をクリアした英国工場で生産しているドッグフード「クラーノ」「ウルフインサイト」の販促にご協力お願いいたします。

◆セールスポイント◆
穀物不使用（グレインフリー）で、最大80％の圧倒的な動物性原材料配合率を誇ります。
低温低圧製法により素材の栄養と香りを損なわず、合成保存料や着色料は一切不使用。人間用食肉レベルの厳選素材のみを使用しています。
お肉が多い（ウルフインサイト：60～80%、クラーノ：約50%）ことで、食いつきを担保しつつ、スーパーフードやプレバイオティクスなどにも配慮し、健康的な日々を愛犬がおくれるよう設計しています。

◆ターゲットユーザー◆
愛犬の健康管理を意識している飼い主様。特に涙やけ、毛並み、アレルギーでお悩みの方や、食欲にムラがあるワンちゃんのオーナー様に最適です。

◆アフィリエイトサイトへのメッセージ◆
ペットの健康志向が高まる中、良質なフードを求める読者との懸け橋として、ぜひ貴サイトの力をお貸しください。","・以下に該当する注文は成果対象外とさせていただきます。
　　＞商品受け取り拒否
　　＞海外発送商品
　　　※日本国内→海外ユーザーへ発送される商品となります。","審査あり","2026/03/02","","","","10%","商品購入","商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","","","",""
"3763242","atidimu.com","https://atidimu.com","株式会社アドスインターナショナル","2174295","ATIDIMU公式 メンズスキンケア通販","ATIDIMU（アティディム）は、清潔感・印象管理を重視する男性向けに設計したプレミアムスキンケアブランドです。安心のメイドインジャパン品質にこだわり、全商品にレチノール（整肌成分）を配合しています。

「テカリ・べたつき」「乾燥とのバランス」など男性特有の肌悩みに寄り添い、毎日続けやすい使用感と世界観を大切にしています。脂性肌～乾燥肌まで幅広い肌質に取り入れやすい設計です（※表現はガイドライン範囲で運用ください）。

【訴求ポイント】
・日本製ならではの品質管理と安心感  
・全商品レチノール配合の設計思想  
・清潔感・身だしなみ重視のブランドコンセプト  
・自己投資・ギフト文脈で購入されやすい  

【おすすめ切り口】
印象管理ルーティン／ビジネス・デート前ケア／30～50代男性ケア習慣／ギフト提案／肌質別基本ケア

【媒体様向け】
訴求ガイド・素材提供可、表現の事前相談にも対応します","・誇大表現や効果効能を断定する表現はご遠慮ください  
・薬機法・景表法に配慮した表現ガイドラインを遵守ください  
・PPC広告（指名・準指名含む）は一切禁止とさせていただきます  
・クーポン／ポイント主訴求媒体は原則提携不可となります  
・公式素材以外の無断転載（画像・文章・キャプチャ）はご遠慮ください  
・掲載内容について事前相談をご希望の場合は柔軟に対応いたします  
・ブランドイメージを損なう掲載が確認された場合、提携解除対象となります  

・虚偽情報、根拠のない比較表現、医薬品的効能を想起させる表現は禁止とします  
・「最安」「必ず改善」「絶対に効く」等の断定・煽り表現はご遠慮ください  
・成果目的のみの不自然な自己購入・重複購入・転売目的の注文は成果対象外とします  
・キャンセル、返品、受取拒否、決済不備が発生した注文は成果対象外となります  
・指名KW・準指名KW・表記ゆれ・商品名・ドメインを含むすべての検索広告出稿は禁止とします  
・ATIDIMUを想起させる広告文でのカテゴリKW出稿も禁止対象となります","審査あり","2026/02/20","","","","15%","商品購入","商品購入:入金確認/配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","","","不可","","","",""
"3761908","ノムコム","https://www.nomu.com/","野村不動産ソリューションズ株式会社","2174175","野村不動産ソリューションズが運営する不動産情報サイト【ノムコム】","野村不動産ソリューションズが運営する不動産情報サイト 「ノムコム」の不動産資料請求・見学予約キャンペーンです。 

サービスの特徴 
★☆━━━━━━━━━━━━━━━━━━━━━━━━…‥・ 
1.年間サイト利用者数1,100万人超の「ノムコム」
 ─────────────────────────────────────── 
2.３Dウォークスルー動画等、写真と動画の活用で物件ページを詳細まで確認可能
 ─────────────────────────────────────── 
3.購入に強い!「信頼」と「実績」の 野村の仲介+(PLUS)
 ─────────────────────────────────────── 
4.安心・充実の「購入サポートサービス」
 ─────────────────────────────────────── 
5.豊富な物件情報に加え、生成AI等の先進技術を取り入れ、物件検索がスムーズに
 ───────────────────────────────────────   
★☆━━━━━━━━━━━━━━━━━━━━━━━━…‥・","【成果条件】
・広告主新規（当広告主を初めて利用する方） 
・対象：以下3地点　※＜資料請求＞と＜見学予約＞両方の条件を満たした場合は、最初に条件を満たした成果のみを確定します。

 ＜見学予約＞ 
・WEBより物件見学予約後、30日以内に電話にて申込者情報や物件情報の整合性が取れていることが確認できた時点 
・対象フォーム：https://www.nomu.com/form/index/action/ReserveInput/　（以降に？パラメータがつきます）

＜資料請求＞ 
・WEBより資料請求申込後、30日以内の電話での資料到着確認完了 
・対象フォーム：https://www.nomu.com/form/index/action/DocumentInput/　（以降に？パラメータがつきます）

＜不動産査定＞
・WEBより不動産査定申込後、30日以内の電話での資料到着確認完了 
・対象フォーム：https://www.nomu.com/form/index/action/AssessmentForm　（以降に？パラメータがつきます）

【否認条件】
・ ＜見学予約＞＜資料請求＞  の新築マンション
・同業他社からの申込 
・キャンセル
・入力不備
・不正
・虚偽
・いたずら 
・メール、電話連絡の不通 
・1世帯(企業)2回以上の申込 
・リスティング違反の場合","審査あり","2026/02/23","","","4000","","予約完了 / 資料請求 / 問い合わせ","予約完了:申込確認
資料請求:申込確認
問い合わせ:申込確認","予約完了：見学予約完了（「https://www.nomu.com/form/index/action/ReserveInput/」配下のサンクス到達）
資料請求：資料請求完了（「https://www.nomu.com/form/index/action/DocumentInput/」配下のサンクス到達）
問い合わせ：無料査定完了（「https://www.nomu.com/seller/」配下のサンクス到達）","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・同業他社からの申込 
・キャンセル
・入力不備
・不正
・虚偽
・いたずら 
・メール、電話連絡の不通 
・1世帯(企業)2回以上の申込 
・リスティング違反の場合","","","","スマホ対応","ITP対応済","","不可","","","",""
