program_name,company_name,program_id,category,reward,status,asp
基本料金と電力量料金が「シンプルな」実質再エネ電力プラン【キューエネスでんき】,Q.ENESTホールディングス株式会社,16674,電力 Q.ENESTホールディングス株式会社 基本料金と電力量料金が「シンプルな」実質再エネ電力プラン【キューエネスでんき】,"WEBからの新規申込後、電気供給開始完了 8,461円（税込） ※ポイント付与上限：8500円まで",未提携,afb
[PC専用]超現実都市オープンワールドRPG【NTE(Neverness to Everness)】,Hotta Studio(蘇州幻塔網絡科技有限公司),,,"ゲームダウンロード後、新規アカウント開設 2,750円（税込）",,afb
1人でも、友だち同士やカップルでも！リゾートバイト探しなら【RESORT CROSS（リゾートクロス）】,株式会社RESORT CROSS,,,"新規登録後、面談完了 6,768円（税込）",,afb
引っ越し一括見積もりなら【YUIE（ユイエ）】,株式会社MOTA,,,"一括見積り初回申込 2,283円（税込）",,afb
宅配買取なら【オクルウル】,株式会社マッチバンク,,,"初回申込後、買取完了 2,876円（税込）",,afb
もう腸活で迷わない！自宅でできる腸内フローラ検査【chatFLORA G（チャットフローラジー）】,株式会社KEAN Health,16633,医療 株式会社KEAN Health もう腸活で迷わない！自宅でできる腸内フローラ検査【chatFLORA G（チャットフローラジー）】,単品購入または定期便の初回購入 ※単品購入はリピートも成果対象 16.83％（税込）,未提携,afb
若々しくクリアな印象へ【NMN22500＋48】,株式会社バイオ・サプリ,,,"初回購入 12,691円（税込）",,afb
毎朝すっきり快調な新習慣を！酵素ドリンク【Premium BIO（プレミアムバイオ）】,株式会社バイオ・サプリ,,,"初回購入 4,400円（税込）",,afb
水漏れ修理・詰まり解消・水回りリフォーム【水の救急隊】,株式会社クリアライフ,,,"無料見積り初回申込（フォーム／電話） 2,750円（税込）",,afb
電気代を賢く変える！「市場価格電気」という選択肢【イデックスでんき】,株式会社新出光,16536,電力 株式会社新出光 電気代を賢く変える！「市場価格電気」という選択肢【イデックスでんき】,"新規契約完了（最低契約期間：１か月） 11,845円（税込） ポイントサイト：新規契約完了（最低契約期間：１か月） 11,845円（税込） ※ポイント付与上限なし",未提携,afb
ゴミ屋敷・空き家清掃・遺品整理など不用品回収無料見積もり【ぽいみつ】,株式会社ロイド,,,"初回無料見積もり申し込みから本人確認完了 5,922円（税込）",,afb
トータルケア美顔器【Liftone（リフト―ン）】,アーリーバード株式会社,,,"初回購入 12,691円（税込） ★期間限定報酬アップキャンペーン中 ～6月4日 初回購入 13,537円（税込） 6月5日～ 初回購入 12,691円（税込）",,afb
【クローズド】,株式会社アラカン,,,"無料出品依頼フォーム完了※リピート可 6,768円（税込）",,afb
完全無添加ドッグフード＜お試しセット＞【ドッグフード工房】,ペットフード工房株式会社,,,お試しセット 初回購入 275円（税込）,,afb
精神科・心療内科オンライン診療【エニキュア】,一般社団法人リカレ協会,,,"新規診察完了 8,461円（税込）",,afb
街コン・恋活＆婚活パーティーならe-venz【イベンツ】,ノマドマーケティング株式会社,16628,出会い ノマドマーケティング株式会社 街コン・恋活＆婚活パーティーならe-venz【イベンツ】,参加完了 リピートも成果対象 16.5％（税込）,未提携,afb
有名アスリート・著名人が通う「筋肉食堂」の宅食サービス【筋肉食堂DELI】,TANPAC株式会社,,,"新規購入 2,750円（税込）",,afb
ポケモンカードを中心に楽しめるネットオリパ【日本玩具センターオンライン】,合同会社Cloud1,16601,趣味・スポーツ 合同会社Cloud1 ポケモンカードを中心に楽しめるネットオリパ【日本玩具センターオンライン】,"LINE友達追加後、課金完了 845円（税込） ※リピート可（課金額500円以下は対象外） ポイントサイト条件：新規5,000円以上のポイント購入",未提携,afb
作業実績50万件突破！エアコン・ハウスクリーニングなら【アールクリーニング】,株式会社FireWorks,16637,その他 株式会社FireWorks 作業実績50万件突破！エアコン・ハウスクリーニングなら【アールクリーニング】,"当広告主を初めて利用する方で、WEB 及び 電話申込後、30日以内の作業完了2,115円（税込） メールお問い合わせ、電話問い合わせ(スマホからのみ)",未提携,afb
"カーリース販売実績No.1！頭金0円／月々5,500円～車がもらえるサブスク【ニコノリ】",株式会社MIC,,,"新規 仮審査申込後、30日以内の審査通過完了 19,461円（税込）",,afb
プロゴルファーが監修するゴルフ用品【GOLFavo（ゴルファボ）公式オンラインストア】,デジタルアスリート株式会社,16651,趣味・スポーツ デジタルアスリート株式会社 プロゴルファーが監修するゴルフ用品【GOLFavo（ゴルファボ）公式オンラインストア】,"ポイント付与上限：購入額の20％まで 購入完了(リピートも成果対象) 10.12％（税込） 下記の商品は報酬条件が記載の通りになります。 ダウンブローマスター/フリーサイズ・navy：1,100円(税込)シナリアイアン：3,300円(税込)",未提携,afb
新規オープン【MBDクリニック 恵比寿院】来院プロモーション,MBDクリニック,,,"来院 21,153円（税込）",,afb
[スマートフォン専用]【ビクトレ】＜会員登録＞ポケモンカードなどが当たる安心安全なオンラインオリパ,トレバ株式会社,,,※CV～成果反映まで30分前後のタイムラグがございます ※アプリ内での初回ログインで成果発生いたします インストール後、新規会員登録 422円（税込）,,afb
[スマートフォン専用]【ビクトレ】＜購入＞ポケモンカードなどが当たる安心安全なオンラインオリパ,トレバ株式会社,16664,趣味・スポーツ トレバ株式会社 [スマートフォン専用]【ビクトレ】＜購入＞ポケモンカードなどが当たる安心安全なオンラインオリパ,インストール後、VC（ビクトレコイン）初回購入 676円（税込）,未提携,afb
給水型浄水ウォーターサーバーなら【しずくりあ】,株式会社TOKAI,16665,ウォーターサーバー 株式会社TOKAI 給水型浄水ウォーターサーバーなら【しずくりあ】,"WEBからの初回申込後、設置完了 6,768円（税込）",未提携,afb
英国発【Boulies（ブーリス）】仕事もゲームもくつろぎも、このエルゴノミクスチェア一台で,BOULIES INC,,,商品購入 4.18％（税込） ※リピート購入OK ※ポイント付与上限：購入額の3.8％まで,,afb
【Shokz（ショックス）】耳をふさがない「オープンイヤー型」イヤホン！ながら聴きをもっと快適に！,SHOKZ (SINGAPORE) PTE. LTD.,16669,雑貨・家庭用品 SHOKZ (SINGAPORE) PTE. LTD. 【Shokz（ショックス）】耳をふさがない「オープンイヤー型」イヤホン！ながら聴きをもっと快適に！,商品購入 6.71％（税込） ※リピート購入OK ※ポイント付与上限：購入額の5％まで,未提携,afb
暗号資産レンディングなら【PBR LENDING】,Portobello Road株式会社,,,"WEBからの新規申込 ┗新規会員登録：1,650円(税込)┗プラン申込：レギュラーレンディング：11,000円(税込)┗プラン申込：プレミアムレンディング：16,500円(税込)",,afb
整体・骨盤【カラダファクトリー】,株式会社ファクトリージャパングループ,,,"WEBからの初回予約後、来店 2,961円（税込）",,afb
最高買取額の楽器買取店がすぐ見つかる！【ウェルカム買取査定ナビ】,東晶貿易株式会社,,,"初回査定申込完了 4,230円（税込）",,afb
人気の鉄道の旅・温泉連泊ツアーなど国内旅行なら【日本の旅 鉄道の旅】,株式会社JR東日本びゅうツーリズム&セールス,16537,旅行 株式会社JR東日本びゅうツーリズム&セールス 人気の鉄道の旅・温泉連泊ツアーなど国内旅行なら【日本の旅 鉄道の旅】,WEB予約後、ツアー参加完了 1.65％（税込） ※リピート申込OK,未提携,afb
日本の極上蟹を最短水揚げ6時間発送！高級カニ通販【かに総本店 松菱】,株式会社Gyrus,16546,食品・産直品 株式会社Gyrus 日本の極上蟹を最短水揚げ6時間発送！高級カニ通販【かに総本店 松菱】,商品購入 14.52％（税込） ※リピート購入OK,未提携,afb
安心の24時間日本語サポート・旅がもっと自由になる【地球の歩き方eSIM】,株式会社テレコムスクエア,16548,SIM 株式会社テレコムスクエア 安心の24時間日本語サポート・旅がもっと自由になる【地球の歩き方eSIM】,購入後の決済完了時(リピートも成果対象) 16.5％（税込） ポイントサイト ポイント付与上限：購入額の16％まで,未提携,afb
【Binance Japan（バイナンスジャパン）】世界最大級の暗号資産取引所日本法人,Binance Japan株式会社,,,"新規登録＋本人認証 完了 5,500円（税込）",,afb
冷感アイスポンチョ【STEAD（スティード）】,株式会社STEAD Technology,16557,雑貨・家庭用品 株式会社STEAD Technology 冷感アイスポンチョ【STEAD（スティード）】,商品購入 253円（税込） ※リピート購入OK,未提携,afb
塾講師バイト・アルバイトの求人を探すなら【G-Path(ジーパス)バイト】,株式会社学研エル・スタッフィング,,,"新規会員登録 2,537円（税込）",,afb
東急でんき＆ガスなら毎日のあれこれがおトクに！【東急でんき&ガス】,株式会社東急パワーサプライ,,,"WEBより新規申込後、90日以内の利用開始 5,922円（税込） ※ポイントサイト：成果地点：WEBより新規申込後、90日以内の利用開始および2ヵ月の継続利用 11,422円(税込)",,afb
ゲーミングPCの【NEWLEAGUEパソコン(ニューリーグパソコン)】,ニューリーグ株式会社,,,初回購入 2.53％（税込）,,afb
最高買取額のピアノ買取店がすぐ見つかる！【ウェルカム買取査定ナビ】,東晶貿易株式会社,,,"初回査定申込完了 2,537円（税込）",,afb
