ドメイン,DR,備考
mao-asada.jp,23.0,
presepe.jp,34.0,
wook.jp,49.0,
mhlw-houkatsucare-ikou.jp,34.0,
kyowa-to.jp,12.0,
ebbs.jp,46.0,
izu-kamori.jp,57.0,
kibune.jp,37.0,
b8ta.jp,61.0,
hakkle.jp,18.0,
tkoubaske.jp,20.0,
nierreincarnation.jp,39.0,
fm-watch.jp,34.0,
cocorofilm.jp,0.0,
mokuzai-points.jp,56.0,
ginza-calla.jp,43.0,
hood-movie.jp,10.0,
syoha-senkyo.jp,7.0,
pinafore.jp,25.0,
finalportrait.jp,10.0,
vrai.jp,17.0,
soh-soh.jp,11.0,
yudo-movie.jp,40.0,
noblessejapan.jp,23.0,
aqua-aqua.jp,38.0,
midway-movie.jp,21.0,
dentou-koukai.jp,31.0,
localgood.jp,37.0,
karajishi-kamen.jp,17.0,
apahotel-saiyou.jp,8.0,
ibukinosato.jp,33.0,
editory.jp,29.0,
mujosobyo.jp,6.0,
kobe-center.jp,26.0,
red-joan.jp,11.0,
preciouslife.jp,12.0,
social-lab.jp,4.7,
nagoyanavi.jp,26.0,
anticaosteriadelponte.jp,20.0,
saltcoordinator.jp,29.0,
adgger.jp,4.5,
itrco.jp,27.0,
ninzunomachi.jp,37.0,
napster.jp,33.0,
dqdai-xb.jp,30.0,
hanagesiki.jp,19.0,
la-coldcase.jp,11.0,
yumikonakamura.jp,1.6,
deli-a.jp,36.0,
hanzuiryo.jp,27.0,
muryo-soudan.jp,2.2,
altamira.jp,34.0,
nikkei-techno.jp,22.0,
nadejo.jp,5.0,
ikoma-kankou.jp,38.0,
katsuuraonsen.jp,27.0,
yonesima.jp,27.0,
monsterdragon.jp,33.0,
zenkamono-movie.jp,28.0,
efreedom.jp,4.3,
kitetsu-hotel.jp,19.0,
fetusjapan.jp,23.0,
englishpedia.jp,28.0,
veryberry.jp,3.3,
8-duck.jp,6.0,
atsugiham.jp,20.0,
isbit.jp,15.0,
kamizukan.jp,12.0,
hfj.jp,22.0,
kanakurishiso.jp,29.0,
repairman.jp,15.0,
eikokusotoku.jp,16.0,
tokusuru-bosai.jp,49.0,
midin.jp,24.0,
greenpal.jp,25.0,
shimada-cl.jp,15.0,
relacul.jp,23.0,
ev-owners.jp,11.0,
okakiyoshi-ken.jp,5.0,
um-hum.jp,8.0,
motopower.jp,2.0,
application-kanazawa.jp,6.0,
nikon-lenswear.jp,47.0,
i-wedding.jp,14.0,
takeo-cinema.jp,17.0,
monkeyman.jp,26.0,
syougai.jp,12.0,
michel-herbelin.jp,16.0,
eduview.jp,14.0,
selfless.jp,13.0,
elementcase.jp,7.0,
blogoodies.jp,10.0,
tooyoungtodie.jp,25.0,
marketer.jp,22.0,
ddroom.jp,0.1,
n-ippo.jp,34.0,
playpic.jp,26.0,
nanome.jp,12.0,
maskwear.jp,27.0,
dali-movie.jp,15.0,
eightpark.jp,10.0,
lipton-sweets.jp,8.0,
kyotocity-hs.jp,29.0,
kanclinic.jp,7.0,
siesta-hosp.jp,8.0,
shangrila-drive.jp,10.0,
tabisuma.jp,11.0,
sadotaiken.jp,23.0,
alpoca.jp,12.0,
okada-maternity.jp,6.0,
noumi-dental.jp,10.0,
ishiuchi-clinic.jp,4.6,
tokyo-design-market.jp,17.0,
usjwebphotostore.jp,2.3,
tomita-kan.jp,14.0,
exina.jp,23.0,
cocoro-cafe.jp,4.3,
aeonconnect.jp,36.0,
at-agent.jp,14.0,
restgenol.jp,2.4,
s-hidezo.jp,16.0,
smileship.jp,4.6,
mgdm.jp,9.0,
kiryu-ebisu.jp,25.0,
uminone.jp,20.0,
mmw.jp,14.0,
webdesignday.jp,29.0,
camlens.jp,8.0,
ac-c.jp,25.0,
bright-tokyo.jp,2.3,
kitchenlife.jp,33.0,
heartbeat-movie.jp,4.0,
hinabe-shintenchi.jp,4.1,
give-peace-a-chance.jp,22.0,
standardbookstore.jp,17.0,
chablet.jp,11.0,
kamimoto.jp,2.6,
hiroshima-kansenboushi-shien.jp,10.0,
otoku-line.jp,11.0,
elementalsoft.jp,4.1,
nekonokurachan-ordinarydays.jp,23.0,
shingetsu-school.jp,4.2,
monoeco.jp,2.9,
discover-miyazaki.jp,36.0,
sketch3.jp,7.0,
rusmuseum.jp,6.0,
jscc59atm.jp,14.0,
honshibori-mag.jp,8.0,
goze.jp,0.0,
solistiade.jp,31.0,
adtune.jp,27.0,
s-venture.jp,19.0,
mcity-guide.jp,3.7,
monthly-century.jp,38.0,
katasumi-corner.jp,2.8,
ubeaute.jp,2.6,
trousselier.jp,2.7,
gominara.jp,0.0,
researchtv.jp,11.0,
smartstorecenter.jp,11.0,
machi-neta.jp,44.0,
amazingcircus-estore.jp,10.0,
wwo.jp,25.0,
smahoto.jp,14.0,
