入力業者名,候補順位,名称,営業状態,住所,電話,公式サイト,緯度,経度,営業時間,評価点,評価件数,名称類似度
関東ギフト 池袋店,1,東武百貨店 池袋店,営業中,〒171-8512 東京都豊島区西池袋１丁目１−２５,,https://www.tobu-dept.jp/ikebukuro/,35.7299418,139.7103113,月曜日: 10時00分～20時00分 / 火曜日: 10時00分～20時00分 / 水曜日: 10時00分～20時00分 / 木曜日: 10時00分～20時00分 / 金曜日: 10時00分～20時00分 / 土曜日: 10時00分～20時00分 / 日曜日: 10時00分～20時00分,3.8,18160,0.5
関東ギフト 池袋店,2,ダイビングクラブ アクアギフト 池袋店,営業中,〒171-0014 東京都豊島区池袋２丁目５１−４,03-5958-3003,http://www.aquagift.jp/,35.733884599999996,139.7101451,月曜日: 定休日 / 火曜日: 12時00分～21時00分 / 水曜日: 12時00分～21時00分 / 木曜日: 12時00分～21時00分 / 金曜日: 12時00分～21時00分 / 土曜日: 12時00分～21時00分 / 日曜日: 12時00分～21時00分,4.7,210,0.48
関東ギフト 池袋店,3,西武池袋本店,営業中,〒171-8569 東京都豊島区南池袋１丁目２８−２８−１,03-3981-0111,https://www.sogo-seibu.jp/seibuikebukuro/?utm_source=gbp&utm_medium=referral&utm_campaign=ss_honbu_240801_gbp_website,35.7287031,139.7118073,月曜日: 10時00分～20時00分 / 火曜日: 10時00分～20時00分 / 水曜日: 10時00分～20時00分 / 木曜日: 10時00分～20時00分 / 金曜日: 10時00分～20時00分 / 土曜日: 10時00分～20時00分 / 日曜日: 10時00分～20時00分,3.9,21342,0.43
寿チケット 池袋西口店,1,アクセスチケット 池袋西口店,営業中,〒171-0021 東京都豊島区西池袋１丁目１５−２ 東武会館別館 1F,03-3984-6560,https://www.access-ticket.com/shop/detail/25,35.7303014,139.7098906,"月曜日: 10時30分～14時00分, 15時00分～19時00分 / 火曜日: 10時30分～14時00分, 15時00分～19時00分 / 水曜日: 10時30分～14時00分, 15時00分～19時00分 / 木曜日: 10時30分～14時00分, 15時00分～19時00分 / 金曜日: 10時30分～14時00分, 15時00分～19時00分 / 土曜日: 10時30分～14時00分, 15時00分～19時00分 / 日曜日: 10時30分～14時00分, 15時00分～19時00分",3.3,159,0.78
新和チケット 池袋,1,アクセスチケット 池袋西口店,営業中,〒171-0021 東京都豊島区西池袋１丁目１５−２ 東武会館別館 1F,03-3984-6560,https://www.access-ticket.com/shop/detail/25,35.7303014,139.7098906,"月曜日: 10時30分～14時00分, 15時00分～19時00分 / 火曜日: 10時30分～14時00分, 15時00分～19時00分 / 水曜日: 10時30分～14時00分, 15時00分～19時00分 / 木曜日: 10時30分～14時00分, 15時00分～19時00分 / 金曜日: 10時30分～14時00分, 15時00分～19時00分 / 土曜日: 10時30分～14時00分, 15時00分～19時00分 / 日曜日: 10時30分～14時00分, 15時00分～19時00分",3.3,159,0.57
新和チケット 池袋,2,新和チケット 立川店,営業中,〒190-0012 東京都立川市曙町２丁目１１−８ TCPC5 立川 4F,042-548-0678,https://shinwa-ticket.net/,35.7001639,139.4152416,月曜日: 9時00分～18時30分 / 火曜日: 9時00分～18時30分 / 水曜日: 9時00分～18時30分 / 木曜日: 9時00分～18時30分 / 金曜日: 9時00分～18時30分 / 土曜日: 定休日 / 日曜日: 9時00分～18時30分,2.8,21,0.71
新和チケット 池袋,3,J・マーケット 池袋東武ホープセンター店,営業中,〒171-0021 東京都豊島区西池袋１丁目１−３０ 池袋東武ホープセンタ B1 サウスゾーン,03-5928-0391,https://j-market.co.jp/shop_list/ikebukuro_tobu,35.7308656,139.7100553,月曜日: 10時00分～21時00分 / 火曜日: 10時00分～21時00分 / 水曜日: 10時00分～21時00分 / 木曜日: 10時00分～21時00分 / 金曜日: 10時00分～21時00分 / 土曜日: 10時00分～21時00分 / 日曜日: 10時00分～21時00分,3.3,90,0.38
ケイネット(K-NET),1,金券ショップケイネット恵比寿店,営業中,〒150-0013 東京都渋谷区恵比寿１丁目８−１４ 1階,03-3280-3966,http://ekinken.net/,35.647685599999996,139.7098622,月曜日: 11時00分～19時00分 / 火曜日: 11時00分～19時00分 / 水曜日: 11時00分～19時00分 / 木曜日: 11時00分～19時00分 / 金曜日: 11時00分～19時00分 / 土曜日: 11時00分～19時00分 / 日曜日: 定休日,4,27,0.4
ケイネット(K-NET),2,J・マーケット 池袋東武ホープセンター店,営業中,〒171-0021 東京都豊島区西池袋１丁目１−３０ 池袋東武ホープセンタ B1 サウスゾーン,03-5928-0391,https://j-market.co.jp/shop_list/ikebukuro_tobu,35.7308656,139.7100553,月曜日: 10時00分～21時00分 / 火曜日: 10時00分～21時00分 / 水曜日: 10時00分～21時00分 / 木曜日: 10時00分～21時00分 / 金曜日: 10時00分～21時00分 / 土曜日: 10時00分～21時00分 / 日曜日: 10時00分～21時00分,3.3,90,0.21
ケイネット(K-NET),3,Ｋ−ＮＥＴ,営業中,〒166-0004 東京都杉並区阿佐谷南１丁目４８−１４ 森田ビル１,03-5305-1899,,35.7037967,139.6367029,月曜日: 10時00分～19時00分 / 火曜日: 10時00分～19時00分 / 水曜日: 10時00分～19時00分 / 木曜日: 10時00分～19時00分 / 金曜日: 10時00分～19時00分 / 土曜日: 10時00分～18時00分 / 日曜日: 10時00分～18時00分,3.7,9,0.0
