domain,availability,registrar,expiry,link_count,years_seen,genre,memo,sample_anchor,sample_source_url,whois_excerpt
ppvj.co.jp,available,,,49,2002,,,http://www.ppvj.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/001ppv/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
home.cherrybomb.co.jp,available,,,4,2002,,,http://home.cherrybomb.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
ipctv.co.jp,available,,,4,2002,,,http://www.ipctv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/011fl/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
japan.discovery.com,available,,,4,2002,,,http://www.japan.discovery.com,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,"No match for ""JAPAN.DISCOVERY.COM""."
gch.jrao.ne.jp,available,,,3,2002,,,http://www.gch.jrao.ne.jp,http://www.eiseihoso.org:80/cgi-bin/cs/013games/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
instructv.co.jp,available,,,3,2002,,,http://www.instructv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/010learn/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
powermovie.co.jp,available,,,3,2002,,,http://www.powermovie.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi?start=20&key=,[ JPRS database provides information on network administration. Its use is    ]
bs-i.co.jp,available,,,2,2002,,,http://www.bs-i.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,[ JPRS database provides information on network administration. Its use is    ]
csn1.co.jp,available,,,2,2002,,,http://www.csn1.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
homech.co.jp,available,,,2,2002,,,http://www.homech.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,[ JPRS database provides information on network administration. Its use is    ]
j2am.co.jp,available,,,2,2002,,,http://www.j2am.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
medianox.co.jp,available,,,2,2002,,,http://medianox.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
music272.tv,available,,,2,2002,,,http://www.music272.tv,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,No Data Found
ohotuku26.or.jp,available,,,2,2002,,,http://www.ohotuku26.or.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
pbj.co.jp,available,,,2,2002,,,http://www.pbj.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
rakutentv.co.jp,available,,,2,2002,,,http://www.rakutentv.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,[ JPRS database provides information on network administration. Its use is    ]
samurai-tv.co.jp,available,,,2,2002,,,http://www.samurai-tv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/005sports/top.cgi?start=10&key=,[ JPRS database provides information on network administration. Its use is    ]
shoku-chan.com,available,,,2,2002,,,http://www.shoku-chan.com,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=10&key=,"No match for domain ""SHOKU-CHAN.COM""."
sports-i.co.jp,available,,,2,2002,,,http://www.sports-i.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/005sports/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
tampa.co.jp,available,,,2,2002,,,http://tampa.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/015radio/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
travelers-tv.com,available,,,2,2002,,,http://www.travelers-tv.com,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,"No match for domain ""TRAVELERS-TV.COM""."
u-air.ac.jp,available,,,2,2002,,,http://www.u-air.ac.jp/hp,http://www.eiseihoso.org:80/cgi-bin/cs/010learn/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
winsphil.co.jp,available,,,2,2002,,,http://www.winsphil.co.jp/filipino_channel/channel_lite.html,http://www.eiseihoso.org:80/cgi-bin/cs/011fl/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
www1.ocn.ne.jp,available,,,2,2002,,,http://www1.ocn.ne.jp/~marukotv,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
759ch.tv,available,,,1,2002,,,http://759ch.tv/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,No Data Found
active-sports.tv,available,,,1,2002,,,http://www.active-sports.tv,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi,No Data Found
alphanetwortv.com,available,,,1,2002,,,http://www.alphanetwortv.com,http://www.eiseihoso.org:80/cgi-bin/cs/011fl/top.cgi,"No match for domain ""ALPHANETWORTV.COM""."
bs-com.com,available,,,1,2002,,,http://www.bs-com.com/,http://www.eiseihoso.org:80/bsdchlu/main.html,"No match for domain ""BS-COM.COM""."
