domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
ppvj.co.jp,49,2002,20020108234740,20021220003512,http://www.ppvj.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/001ppv/top.cgi,False,,
jcom.co.jp,18,2002,20020302070423,20020302070423,http://www.jcom.co.jp/shimonoseki,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
titus.co.jp,7,2002,20020302070423,20020302070423,http://www.titus.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
jskysports.com,5,2002,20020616145116,20020702220426,http://www.jskysports.com,http://www.eiseihoso.org:80/cgi-bin/cs/005sports/top.cgi,False,,
home.cherrybomb.co.jp,4,2002,20020308030322,20021124060813,http://home.cherrybomb.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,False,,
ipctv.co.jp,4,2002,20020311214208,20020617001254,http://www.ipctv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/011fl/top.cgi,False,,
japan.discovery.com,4,2002,20020306011456,20020622152213,http://www.japan.discovery.com,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,False,,
cartoonnetwork.co.jp,3,2002,20020315123918,20020702220426,http://www.cartoonnetwork.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/004anime/top.cgi,False,,
gch.jrao.ne.jp,3,2002,20020616145116,20020628033634,http://www.gch.jrao.ne.jp,http://www.eiseihoso.org:80/cgi-bin/cs/013games/top.cgi,False,,
instructv.co.jp,3,2002,20020221040920,20020616145116,http://www.instructv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/010learn/top.cgi,False,,
nhk.or.jp,3,2002,20020221040753,20020221040753,http://www.nhk.or.jp/digital/,http://www.eiseihoso.org:80/bsdchlu/main.html,False,,
powermovie.co.jp,3,2002,20020320072300,20020320072300,http://www.powermovie.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi?start=20&key=,False,,
v135.com,3,2002,20020320072300,20020628032753,http://www.v135.com,http://www.eiseihoso.org:80/cgi-bin/cs/001ppv/top.cgi?start=30&key=,False,,
wni.co.jp,3,2002,20020221040753,20020430031305,http://www.wni.co.jp/cww/,http://www.eiseihoso.org:80/bsdchlu/main.html,False,,
www1.biz.biglobe.ne.jp,3,2002,20020302070423,20020302070423,http://www1.biz.biglobe.ne.jp/ ~asagaotv/,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
access-tv.net,2,2002,20020221041025,20020701062451,http://www.access-tv.net,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi,False,,
bs-i.co.jp,2,2002,20020221040753,20020221040753,http://www.bs-i.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,False,,
bs-j.co.jp,2,2002,20020221040753,20020221040753,http://www.bs-j.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,False,,
catv-kobe.co.jp,2,2002,20020302070423,20020302070423,http://www.catv-kobe.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,False,,
classica-jp.com,2,2002,20020306005712,20020628033634,http://www.classica-jp.com,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,False,,
clubdam.com,2,2002,20020306005712,20020306005712,http://www.clubdam.com/starkaraoke,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,False,,
csn1.co.jp,2,2002,20020108234740,20020616145116,http://www.csn1.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi,False,,
daiwa.co.jp,2,2002,20020430082315,20020622075139,http://www.daiwa.co.jp/daiwa766/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi,False,,
e-tenki.net,2,2002,20020221041025,20020511041457,http://www.e-tenki.net,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi,False,,
foxjapan.com,2,2002,20020616145116,20020623183843,http://www.foxjapan.com,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi?start=10&key=,False,,
homech.co.jp,2,2002,20020430082315,20020616145116,http://www.homech.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,False,,
investation.com,2,2002,20020221041025,20020430031305,http://www.investation.com,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi,False,,
j2am.co.jp,2,2002,20020308030322,20020308030322,http://www.j2am.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi,False,,
kojima.net,2,2002,20020628033634,20020816212242,http://www.kojima.net/,http://www.eiseihoso.org:80/cgi-bin/cs/012shopping/top.cgi,False,,
