domain,availability,registrar,expiry,link_count,years_seen,genre,memo,sample_anchor,sample_source_url,whois_excerpt
ch.moshimo.com,available,,,13,"2014,2015,2016,2017",,,アフィリエイトチャレンジ,http://www.japan-affiliate.org/news/prkyousan201205/,"No match for ""CH.MOSHIMO.COM""."
index.ascii.jp,available,,,10,"2015,2016,2017",,,個人事業主・フリーランスのための青色申告,http://www.japan-affiliate.org:80/news/afkakutei2015/,[ JPRS database provides information on network administration. Its use is    ]
gift.i-wa.net,available,,,8,"2014,2015,2016,2017",,,http://gift.i-wa.net/,http://www.japan-affiliate.org/regular/ayapi/,"No match for ""GIFT.I-WA.NET""."
sakura.i-wa.net,available,,,8,"2016,2017",,,http://sakura.i-wa.net/map.html,http://www.japan-affiliate.org/news/1stkouza201611/,"No match for ""SAKURA.I-WA.NET""."
wolf-gourmet.com,available,,,8,"2014,2015",,,http://wolf-gourmet.com/?page_id=3797,http://www.japan-affiliate.org/regular/wolf-blog/,"No match for domain ""WOLF-GOURMET.COM""."
cosme.kittys.biz,available,,,6,"2014,2016,2017",,,http://cosme.kittys.biz/,http://www.japan-affiliate.org:80/regular/kittys/,No Data Found
hbfgl.com,available,,,6,"2014,2015,2016",,,http://hbfgl.com/wordpress/,http://www.japan-affiliate.org:80/regular/hbfas/,"No match for domain ""HBFGL.COM""."
make.mapmap.biz,available,,,6,"2014,2015,2016",,,http://make.mapmap.biz/,http://www.japan-affiliate.org/regular/junkword/,No Data Found
nurse.naion.biz,available,,,6,"2014,2015,2016",,,http://nurse.naion.biz/,http://www.japan-affiliate.org/regular/toshihiro/,No Data Found
ringc.net,available,,,6,"2014,2015,2016",,,http://ringc.net/,http://www.japan-affiliate.org:80/regular/norari/,"No match for domain ""RINGC.NET""."
select-herb.com,available,,,6,"2014,2015,2016",,,http://select-herb.com/,http://www.japan-affiliate.org/regular/harublog/,"No match for domain ""SELECT-HERB.COM""."
speng-tororo.com,available,,,6,"2014,2015,2016",,,http://speng-tororo.com/,http://www.japan-affiliate.org/regular/goodnotepc/,"No match for domain ""SPENG-TORORO.COM""."
swallow-tail.com,available,,,6,"2014,2015,2016",,,http://swallow-tail.com/,http://www.japan-affiliate.org/regular/kossori/,"No match for domain ""SWALLOW-TAIL.COM""."
taisyoku.b-new.net,available,,,6,"2014,2015,2016",,,http://taisyoku.b-new.net/,http://www.japan-affiliate.org:80/regular/norari/,"No match for ""TAISYOKU.B-NEW.NET""."
www4.atword.jp,available,,,6,"2014,2015,2016",,,http://www4.atword.jp/yoshiwara/,http://www.japan-affiliate.org/regular/houtoku/,[ JPRS database provides information on network administration. Its use is    ]
zerokarawp.com,available,,,6,"2015,2016,2017",,,ゼロから始めるWordPress勉強会,http://www.japan-affiliate.org/news/apiwordpress1502/,"No match for domain ""ZEROKARAWP.COM""."
store.npinet.co.jp,available,,,5,"2015,2016,2017",,,NPI Store,http://www.japan-affiliate.org/news/apiwordpress1502/,[ JPRS database provides information on network administration. Its use is    ]
