domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
caa.go.jp,74,"2014,2015,2016,2017",20140111201343,20171211205106,インターネット消費者取引に係る広告表示に関する景品表示法上の問題点及び留意事項,http://www.japan-affiliate.org:80/policy/,False,,
nta.go.jp,37,"2014,2015",20140118045110,20150501010703,http://www.nta.go.jp/kohyo/press/press/2013/shotoku_shohi/sanko04_05.htm,http://www.japan-affiliate.org:80/topics/fromnta2014/,False,,
xmax.jp,25,"2014,2015,2016,2017",20140110075839,20170905200136,http://www.xmax.jp/,http://www.japan-affiliate.org/news/tohoku201307support/,False,,
luvp-planet.com,14,"2016,2017",20160421201727,20171211205106,ラブピープラネット（ラブピー・プラネット株式会社）,http://www.japan-affiliate.org:80/news/chiba1607/,False,,
ch.moshimo.com,13,"2014,2015,2016,2017",20140401050330,20170726034834,アフィリエイトチャレンジ,http://www.japan-affiliate.org/news/prkyousan201205/,False,,
index.ascii.jp,10,"2015,2016,2017",20150126142626,20170803080704,個人事業主・フリーランスのための青色申告,http://www.japan-affiliate.org:80/news/afkakutei2015/,False,,
kokusen.go.jp,10,"2014,2015,2016,2017",20140307030346,20170627112710,http://www.kokusen.go.jp/news/data/n-20100317_2.html,http://www.japan-affiliate.org:80/join/jyouhousyouzai/,False,,
pref.shizuoka.jp,10,"2016,2017",20160521120424,20171113164900,https://www.pref.shizuoka.jp/sangyou/sa-210/sisetu/tizuryoukin.html#sizuoka,http://www.japan-affiliate.org/news/shizuoka1611/,False,,
yayoi-kk.co.jp,10,"2015,2016,2017",20150126142626,20170803080704,やよいの青色申告 オンライン,http://www.japan-affiliate.org:80/news/afkakutei2015/,False,,
gift.i-wa.net,8,"2014,2015,2016,2017",20140401051156,20170616071344,http://gift.i-wa.net/,http://www.japan-affiliate.org/regular/ayapi/,False,,
jasrac.or.jp,8,"2014,2016",20140516052631,20160807191403,http://www.jasrac.or.jp/release/14/05_1.html,http://www.japan-affiliate.org:80/news/jasracasp1405/,False,,
kanreki.info,8,"2015,2017",20150329200852,20170703044758,還暦祝い本舗,http://www.japan-affiliate.org/news/kansai201205/,False,,
metro.tokyo.jp,8,"2014,2015,2016,2017",20140307030346,20170627112710,http://www.metro.tokyo.jp/INET/OSHIRASE/2010/09/20k92200.htm,http://www.japan-affiliate.org:80/join/jyouhousyouzai/,False,,
sakura.i-wa.net,8,"2016,2017",20161218211108,20170625081812,http://sakura.i-wa.net/map.html,http://www.japan-affiliate.org/news/1stkouza201611/,False,,
wolf-gourmet.com,8,"2014,2015",20140327184814,20150325000559,http://wolf-gourmet.com/?page_id=3797,http://www.japan-affiliate.org/regular/wolf-blog/,False,,
ne.jp,7,"2014,2015,2016,2017",20140401051059,20171001135341,http://www.ne.jp/asahi/million/hp/,http://www.japan-affiliate.org/regular/millioncom/,False,,
call-op.info,6,"2014,2015,2017",20140712100004,20170726013037,http://call-op.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,False,,
cosme.kittys.biz,6,"2014,2016,2017",20140210170230,20170113235832,http://cosme.kittys.biz/,http://www.japan-affiliate.org:80/regular/kittys/,False,,
hbfgl.com,6,"2014,2015,2016",20140308061115,20160711120239,http://hbfgl.com/wordpress/,http://www.japan-affiliate.org:80/regular/hbfas/,False,,
iimono.love-tky.info,6,"2014,2015,2017",20140712100004,20170726013037,http://iimono.love-tky.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,False,,
kodomo-ryokou.info,6,"2014,2015,2016",20140517221749,20160711120454,http://kodomo-ryokou.info/,http://www.japan-affiliate.org:80/regular/kuchikomi-life/,False,,
kuchikomi-life.info,6,"2014,2015,2016",20140517221749,20160711120454,お問い合わせフォーム,http://www.japan-affiliate.org:80/regular/kuchikomi-life/,False,,
make.mapmap.biz,6,"2014,2015,2016",20140401052508,20160711120243,http://make.mapmap.biz/,http://www.japan-affiliate.org/regular/junkword/,False,,
nurse.naion.biz,6,"2014,2015,2016",20140401050029,20160406092616,http://nurse.naion.biz/,http://www.japan-affiliate.org/regular/toshihiro/,False,,
osakaawaziguide-tororo.com,6,"2014,2015,2016",20140715135848,20160711120417,http://www.osakaawaziguide-tororo.com/,http://www.japan-affiliate.org/regular/goodnotepc/,False,,
osetino.info,6,"2014,2015,2016",20140220104756,20160203040157,http://osetino.info/,http://www.japan-affiliate.org:80/regular/norari/,False,,
ringc.net,6,"2014,2015,2016",20140220104756,20160203040157,http://ringc.net/,http://www.japan-affiliate.org:80/regular/norari/,False,,
select-herb.com,6,"2014,2015,2016",20140712105139,20160507085747,http://select-herb.com/,http://www.japan-affiliate.org/regular/harublog/,False,,
speng-tororo.com,6,"2014,2015,2016",20140715135848,20160711120417,http://speng-tororo.com/,http://www.japan-affiliate.org/regular/goodnotepc/,False,,
swallow-tail.com,6,"2014,2015,2016",20140401025536,20160711120447,http://swallow-tail.com/,http://www.japan-affiliate.org/regular/kossori/,False,,
taisyoku.b-new.net,6,"2014,2015,2016",20140220104756,20160203040157,http://taisyoku.b-new.net/,http://www.japan-affiliate.org:80/regular/norari/,False,,
takuhaigohan.love-tky.info,6,"2014,2015,2017",20140712100004,20170726013037,http://takuhaigohan.love-tky.info/,http://www.japan-affiliate.org/regular/kirei-love-tky/,False,,
www4.atword.jp,6,"2014,2015,2016",20140401044458,20160718041351,http://www4.atword.jp/yoshiwara/,http://www.japan-affiliate.org/regular/houtoku/,False,,
zerokarawp.com,6,"2015,2016,2017",20150319070221,20170129181034,ゼロから始めるWordPress勉強会,http://www.japan-affiliate.org/news/apiwordpress1502/,False,,
ibuki-sendai.co.jp,5,"2014,2015,2016,2017",20140626182821,20171022074556,http://www.ibuki-sendai.co.jp/listNozomi.html,http://www.japan-affiliate.org:80/news/tohoku201407/,False,,
store.npinet.co.jp,5,"2015,2016,2017",20150319070221,20170129181034,NPI Store,http://www.japan-affiliate.org/news/apiwordpress1502/,False,,
verabradfan.com,5,"2015,2016,2017",20150323051054,20170628181408,ヴェラファンブログ,http://www.japan-affiliate.org/news/honki2014panel/,False,,
atbijin.com,4,"2014,2015",20140401051007,20150430030225,http://atbijin.com/index.html,http://www.japan-affiliate.org/regular/papinen/,False,,
cinderella-story.biz,4,"2015,2017",20150329200852,20170703044758,プレゼント本舗,http://www.japan-affiliate.org/news/kansai201205/,False,,
hokkaido-umai.biz,4,"2015,2016,2017",20150323051054,20170129181034,北海道うまいbiz,http://www.japan-affiliate.org/news/honki2014panel/,False,,
idobata365.net,4,"2014,2016",20140401044551,20160608140757,http://idobata365.net/,http://www.japan-affiliate.org/regular/kuchikomihouse/,False,,
