domain,availability,registrar,expiry,link_count,years_seen,genre,memo,sample_anchor,sample_source_url,whois_excerpt
helpcenter.skyperfectv.co.jp,available,,,6,2024,,,スカパー！公式サイト,https://mizuho-a.com/column/column942242,[ JPRS database provides information on network administration. Its use is    ]
soumu.go.jp,unknown,,,34,2024,,,画像の出典：総務省ホームページ,https://mizuho-a.com/column/4ktv,[ JPRS database provides information on network administration. Its use is    ]
jcom.co.jp,unknown,,,20,2024,,,J:COM TV シン・スタンダード,https://mizuho-a.com/column/ai-koumuten-antena,[ JPRS database provides information on network administration. Its use is    ]
city.chiyoda.lg.jp,unknown,,,1,2024,,,千代田区ホームページ,https://mizuho-a.com/column/column1026726,[ JPRS database provides information on network administration. Its use is    ]
ktknet.ne.jp,unknown,,,1,2024,,,テレビ九州,https://mizuho-a.com/column/catv-hikari,[ JPRS database provides information on network administration. Its use is    ]
mhlw.go.jp,unknown,,,1,2024,,,厚生労働省HP,https://mizuho-a.com/column/antena-typhoon,[ JPRS database provides information on network administration. Its use is    ]
obayashi.co.jp,unknown,,,1,2024,,,大林組,https://mizuho-a.com/column/broadcasting-tower,[ JPRS database provides information on network administration. Its use is    ]
ksdenki.com,taken,"Japan Registry Services Co., Ltd.",2027-03-04T05:00:00Z,9,2024,,,ケーズデンキホームページ「あんしんパスポート」とは,https://mizuho-a.com/column/about-bscsantena,Domain Name: KSDENKI.COM
nhk-cs.jp,taken,NHK (Japan Broadcasting Corporation),,7,2024,,,https://www.nhk-cs.jp/jushinryo/AddressChangeMenu.do,https://mizuho-a.com/column/about-tvsettingsmethod,[ JPRS database provides information on network administration. Its use is    ]
kojima.net,taken,"Japan Registry Services Co., Ltd.",2026-05-10T04:00:00Z,6,2024,,,コジマ電機,https://mizuho-a.com/column/about-bscsantena,Domain Name: KOJIMA.NET
yamada-denkiweb.com,taken,"Japan Registry Services Co., Ltd.",2027-01-07T12:48:04Z,6,2024,,,ヤマダ電機公式ホームページによるアンテナ工事料金はこちら,https://mizuho-a.com/column/about-bscsantena,Domain Name: YAMADA-DENKIWEB.COM
yamada-denki.jp,taken,Yamada denki corp.,,5,2024,,,ヤマダ電機公式サイト,https://mizuho-a.com/column/antena-yamadadenki,[ JPRS database provides information on network administration. Its use is    ]
chideji-antena.jp,taken,antena-sp,,4,2024,,,https://www.chideji-antena.jp/,https://mizuho-a.com/column/atsugi-antena-gyosha,[ JPRS database provides information on network administration. Its use is    ]
skytree-obayashi.com,taken,"GMO Internet Group, Inc. d/b/a Onamae.com",2031-07-02T05:32:34Z,1,2024,,,大林組,https://mizuho-a.com/column/broadcasting-tower,Domain Name: SKYTREE-OBAYASHI.COM
