domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
soumu.go.jp,34,2024,20240224170924,20240614054908,画像の出典：総務省ホームページ,https://mizuho-a.com/column/4ktv,False,,
jcom.co.jp,20,2024,20240301011737,20241114044958,J:COM TV シン・スタンダード,https://mizuho-a.com/column/ai-koumuten-antena,False,,
ksdenki.com,9,2024,20240301015251,20240316161916,ケーズデンキホームページ「あんしんパスポート」とは,https://mizuho-a.com/column/about-bscsantena,False,,
nhk-cs.jp,7,2024,20240301180239,20240316145353,https://www.nhk-cs.jp/jushinryo/AddressChangeMenu.do,https://mizuho-a.com/column/about-tvsettingsmethod,False,,
helpcenter.skyperfectv.co.jp,6,2024,20240331114623,20240331114623,スカパー！公式サイト,https://mizuho-a.com/column/column942242,False,,
kojima.net,6,2024,20240301015251,20240316161916,コジマ電機,https://mizuho-a.com/column/about-bscsantena,False,,
yamada-denkiweb.com,6,2024,20240301015251,20240424100536,ヤマダ電機公式ホームページによるアンテナ工事料金はこちら,https://mizuho-a.com/column/about-bscsantena,False,,
yamada-denki.jp,5,2024,20240424100536,20240424100536,ヤマダ電機公式サイト,https://mizuho-a.com/column/antena-yamadadenki,False,,
chideji-antena.jp,4,2024,20241103160029,20241103171436,https://www.chideji-antena.jp/,https://mizuho-a.com/column/atsugi-antena-gyosha,False,,
city.chiyoda.lg.jp,1,2024,20240316151729,20240316151729,千代田区ホームページ,https://mizuho-a.com/column/column1026726,False,,
ktknet.ne.jp,1,2024,20240424093105,20240424093105,テレビ九州,https://mizuho-a.com/column/catv-hikari,False,,
mhlw.go.jp,1,2024,20240303115658,20240303115658,厚生労働省HP,https://mizuho-a.com/column/antena-typhoon,False,,
obayashi.co.jp,1,2024,20240224170924,20240224170924,大林組,https://mizuho-a.com/column/broadcasting-tower,False,,
skytree-obayashi.com,1,2024,20240224170924,20240224170924,大林組,https://mizuho-a.com/column/broadcasting-tower,False,,
mizuho-a.com,18715,2024,20240113023250,20241208035459,引っ越し先でテレビが映らない際の原因と設定方法！メーカー別・賃貸・戸建て別に解説【正しく設定してもテレビが映らない場合の原因と対処法】,https://mizuho-a.com/column/%E3%80%9010%E6%9C%8817%E6%97%A5%EF%BD%9E10%E6%9C%8818%E6%97%A5%E7%A0%94%E4%BF%AE%E3%81%AB%E4%BC%B4%E3%81%86%E8%87%A8%E6%99%82%E4%BC%91%E6%A5%AD%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91,True,,
lin.ee,1007,2024,20240113023250,20241114045809,,https://mizuho-a.com/column/%E3%80%9010%E6%9C%8817%E6%97%A5%EF%BD%9E10%E6%9C%8818%E6%97%A5%E7%A0%94%E4%BF%AE%E3%81%AB%E4%BC%B4%E3%81%86%E8%87%A8%E6%99%82%E4%BC%91%E6%A5%AD%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91,True,,
twitter.com,237,2024,20240113023250,20241114045809,"September 23, 2023",https://mizuho-a.com/column/%E3%80%9010%E6%9C%8817%E6%97%A5%EF%BD%9E10%E6%9C%8818%E6%97%A5%E7%A0%94%E4%BF%AE%E3%81%AB%E4%BC%B4%E3%81%86%E8%87%A8%E6%99%82%E4%BC%91%E6%A5%AD%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91,True,,
instagram.com,211,2024,20240113023250,20241114045809,アーネストワン 【公式】(@arnestone_official)がシェアした投稿,https://mizuho-a.com/column/%E3%80%9010%E6%9C%8817%E6%97%A5%EF%BD%9E10%E6%9C%8818%E6%97%A5%E7%A0%94%E4%BF%AE%E3%81%AB%E4%BC%B4%E3%81%86%E8%87%A8%E6%99%82%E4%BC%91%E6%A5%AD%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91,True,,
facebook.com,198,2024,20240113023250,20241114045809,,https://mizuho-a.com/column/%E3%80%9010%E6%9C%8817%E6%97%A5%EF%BD%9E10%E6%9C%8818%E6%97%A5%E7%A0%94%E4%BF%AE%E3%81%AB%E4%BC%B4%E3%81%86%E8%87%A8%E6%99%82%E4%BC%91%E6%A5%AD%E3%81%AE%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B%E3%80%91,True,,
amazon.co.jp,87,2024,20240226153309,20241114045809,TCL 43V型  4K Google TV 液晶テレビ Wチューナー内蔵 スマートテレビ フレームレス ネット動画対応 HDR10対応 クロームキャスト内蔵 音声検索対応 ゲームモードALLM 2022年モデル,https://mizuho-a.com/column/about-8k,True,,
