domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
vsc.send.microad.jp,154,2014,20140415063733,20141231060002,,http://www.skincare-univ.com/article/000013/,False,,
r.ca-mpr.jp,6,2014,20140831230918,20140901132931,,http://www.skincare-univ.com/supplement/article/002103/,False,,
c.hc-refre.com,4,2014,20140810232632,20141208163537,おとすりむ水戸納豆 食べる量、運動しても減らないのは栄養不足のせいかも？創業120年の歴史をもつ天狗納豆を採用。,http://www.skincare-univ.com/article/005995/,False,,
vigorbright-store.com,4,2014,20140912155820,20140923231850,ビガーブライトEX 美容ミネラル「シリカ」を高含有し、名水百選指定の湧水で作られた高濃度ナノ水素水。,http://www.skincare-univ.com/supplement/article/004184/,False,,
atopinavi.com,2,2014,20140726034318,20140812021743,あとぴナビ 『自然治癒力』の考えを基本理念として、さまざまな情報を提供しています。,http://www.skincare-univ.com/article/000721/?utm_source=livingweb&utm_medium=article&utm_campaign=alliance,False,,
biyou-antiageing.net,2,2014,20141115212950,20141115212950,ドクターに相談するなら！ ガーデンクリニックでは、「美しくなりたい。いつまでも若々しくいたい。」と願う女性一人一人の悩みに向き合います。,http://www.skincare-univ.com:80/article/000043/,False,,
r-and-y.co.jp,2,2014,20141212172552,20141222173759,プラセンタ100 『もうすぐ40代。結構やばいかも』と思っている方へ50倍濃縮の1粒を。,http://www.skincare-univ.com/article/004142/,False,,
ybo.sma-clsys.info,2,2014,20140528032533,20140528032954,メディプラスオーダーズ「メディプラスゲル」 62種類の美容成分がこの1本に凝縮！美肌の湯で有名な、出雲・玉造の温泉水を使用しています。,http://www.skincare-univ.com:80/article/000090/?from=cityliving,False,,
oudoclub.net,1,2014,20140805070922,20140805070922,ホワイトニングリフトケアジェル マッサージもできる薬用成分配合オールインワン美容液,http://www.skincare-univ.com:80/article/000044/,False,,
re-pro-skin.com,1,2014,20140718234918,20140718234918,導入型柔軟化粧水『リプロスキン』 もう繰り返さない！トラブル知らずの健やかな肌へ,http://www.skincare-univ.com:80/article/000057/,False,,
twitter.com,489,2014,20140101173642,20141231060002,@skincare_univ からのツイート,http://www.skincare-univ.com/,True,,
itunes.apple.com,401,2014,20140101173642,20141231060002,厳選された情報をiPhoneでも。 PCサイトに無い機能搭載で便利！,http://www.skincare-univ.com/,True,,
play.google.com,354,2014,20140101173642,20141231060002,Google Play,http://www.skincare-univ.com/,True,,
facebook.com,313,2014,20140101173642,20141231060002,,http://www.skincare-univ.com/,True,,
mens-skincare-univ.com,172,2014,20140301165146,20141231060002,「間違った洗顔」チェック イチゴ鼻を引き起こす間違った洗顔方法。この診断で、正しい洗顔を身につけましょう。,http://www.skincare-univ.com/article/000013/,True,,
rich.co.jp,141,2014,20140612023436,20141231060002,採用情報,http://www.skincare-univ.com/article/000013/,True,,
ac.ebis.ne.jp,12,2014,20140811081253,20140914174705,アンプルール ラグジュアリーホワイト 目に見えない●●予備軍にもアプローチ！皮膚の専門家が開発したスキンケア化粧品,http://www.skincare-univ.com/article/000088/,True,,
mediplus-orders.jp,6,2014,20140809025252,20140811113954,オールインワンゲル「メディプラスゲル」 洗顔後これ一本でOK！62種類の美容成分がこの1本に凝縮。,http://www.skincare-univ.com/article/001727/,True,,
shareco.co.jp,5,2014,20140701231258,20141231060002,スキンケアブック 応募者全員無料プレゼント！ この本にしかない秘密の肌トラブルの原因や正しいお手入れが詰まっています。,http://www.skincare-univ.com/article/000042/?utm_source=girlswalker&utm_medium=article&utm_campaign=alliance,True,,
hahanoshizuku.jp,4,2014,20141023161756,20141210171711,母の滴　プラセンタ化粧品 年齢肌に負けない強い肌を目指す！まずは専門店のトライアルセットをお試しください。,http://www.skincare-univ.com/article/004622/,True,,
adorable.tv,2,2014,20141110172451,20141126171332,アドラーブル-脱毛・フェイシャルサロン- つるつるタマゴ肌を目指したいなら。日本人の肌質、毛質に合わせた機器を使用した丁寧な対応が自慢です。,http://www.skincare-univ.com/article/004662/,True,,
garden-clinic.net,2,2014,20141103095627,20141103095627,細かい要望に応える３種の施術 どんよりした表情は『老け顔』の原因になる！悩みに合せた施術をご用意。翌日からメイクも可能です。,http://www.skincare-univ.com:80/article/000044/?utm_source=modelpress&utm_medium=article&utm_campaign=alliance,True,,
jewel-rain.com,2,2014,20140621235733,20140718234918,薬用ボディケア『ジュエルレイン』 有効成分プラセンタとグリチルリチン酸で保湿ケア,http://www.skincare-univ.com:80/article/000056/,True,,
tervis.jp,2,2014,20140808203715,20141202213654,アクアプロテオ　モイスチュアジェル ヒアルロン酸を超えるといわれる保湿成分プロテオグリカン配合。洗顔後はこれ1本で！内側からハリのある肌に。,http://www.skincare-univ.com/article/004153/?utm_source=cityliving&utm_medium=article&utm_campaign=alliance,True,,
biyou-dental.com,1,2014,20141024114752,20141024114752,ザ・ホワイトデンタルクリニック 美しい表情には口元も大切です。 歯列矯正は、見た目以外にも咬み合わせで体調不良の改善にも重要な治療です。,http://www.skincare-univ.com/article/006711/,True,,
c.ad-analyze.jp,1,2014,20141010170919,20141010170919,頭皮エッセンス『ハリモア』 美容成分99.7％お肌同様のスキンケアを頭皮にも。,http://www.skincare-univ.com/article/003966/,True,,
clair-clinic.com,1,2014,20141210171059,20141210171059,新宿クレアクリニック 脱毛と美容に関する知識と経験をもとに、患者さまそれぞれのお肌や毛質に合わせたオーダーメイドの丁寧な施術を心掛けていきます。,http://www.skincare-univ.com/article/006450/,True,,
ginza-calla.jp,1,2014,20141027173455,20141027173455,銀座カラー 「一生モノの肌」は目指せる！ 　21年の実績。ていねいなケアを　お約束する脱毛専門サロン。,http://www.skincare-univ.com/article/006750/,True,,
